company,Name,Ticker
Meritor,"Meritor, Inc.",MTOR
Cameron Iron Works,,
United Services Automobile Association,,
Western Gas Resources,,
Coca-Cola Bottling,Coca-Cola Bottling Co. Consolidated,COKE
ProLogis,"Prologis, Inc.",PLD
Mondelēz International,"Mondelez International, Inc.",MDLZ
GEICO,Genco Shipping & Trading Limited,GNK
Quintiles IMS Holdings,"Quintiles IMS Holdings, Inc.",Q
CVR Energy,"CVR Energy, Inc.",CVI
MetroPCS Communications,,
Andeavor,Andeavor,TSO
Plains Resources,Eagle Plains Resources Ltd.,EGPLF
NTL,NML.A,NML.A
Ryerson,Ryerson Holding Corporation,RYI
Turner Broadcasting,,
Barnes Group,Barnes Group Inc.,B
Rexene,Revere Bank,REVB
Western Atlas,,
Boise Cascade Holdings,Boise Cascade Company,BCC
Sigma-Aldrich,Sigma-Aldrich Corporation,SIAL
Andersons,"The Andersons, Inc.",ANDE
BlueLinx Holdings,Bluelinx Holdings Inc.,BXC
Patterson,"Patterson Companies, Inc.",PDCO
Freescale Semiconductor,,
Brinker International,"Brinker International, Inc.",EAT
Metromedia International,,
College Retirement Equities Fund,,
LPL Technologies,,
Vishay Intertechnology,"Vishay Intertechnology, Inc.",VSH
Mack Trucks,,
Magellan Health,"Magellan Health, Inc.",MGLN
NTL Europe,,
OM Group,,
Cintas,Cintas Corporation,CTAS
DCP Midstream,"DCP Midstream, LP",DPM
Administaff,,
Allied Products,"Allied Healthcare Products, Inc.",AHPI
Domino Sugar,,
U.S. Healthcare,,
Sudbury,,
Unifi,"Unifi, Inc.",UFI
Nebco Evans,,
Coty,Coty Inc.,COTY
Pinnacle West Capital,Pinnacle West Capital Corporation,PNW
American Axle & Manufacturing,"American Axle & Manufacturing Holdings, Inc.",AXL
Perini,Tutor Perini Corporation,TPC
Exelis,Exelis Inc.,XLS
McGraw Hill Financial,"McGraw Hill Financial, Inc.",MHFI
Polaris Industries,Polaris Industries Inc.,PII
American Maize-Products,,
LandAmerica Financial,,
Northern Trust,Northern Trust Corporation,NTRS
Hechinger,,
Western Publishing Group,,
Sierra Pacific Resources,,
Buckeye Partners,"Buckeye Partners, L.P.",BPL
USA Education,,
CENEX,Canex Energy Corp.,BDRCF
Harcourt Brace Jovanovich,,
Amstar,Amistar Corporation,AMTA
Avis Rent A Car,,
Fieldcrest Cannon,Canon Inc.,CAJ
Big Three Industries,,
Expedia Group,"Expedia, Inc.",EXPE
First Interstate Bancorp,,
Corn Products International,,
Triangle Industries,,
Xidex,IDEX Corporation,IEX
Spectrum Brands Holdings,"Spectrum Brands Holdings, Inc.",SPB
Manitowoc,"The Manitowoc Company, Inc.",MTW
Aleris,Aleris Corporation,ALSD
Vector Group,Vector Group Ltd.,VGR
CVS/Caremark,CVSL Inc.,CVSL
Michaels Cos.,,
Bank of America,Bank of America Corporation,BAC
Circle K,,
Specialty Coatings International,,
First Fidelity Bancorp.,,
Champion Spark Plug,,
Altice USA,ALTICE SA,ATSVF
Electronic Arts,Electronic Arts Inc.,EA
Reliance Steel & Alum.,,
Chrysler Group,,
Foamex International,"Jubilant Flame International, Ltd.",JFIL
Newmont Goldcorp,Goldcorp Inc.,GG
Lancaster Colony,Lancaster Colony Corporation,LANC
JDS Uniphase,,
Sheller-Globe,,
Standard Motor Products,"Standard Motor Products, Inc.",SMP
United Merchants & Mfrs.,,
ACX Technologies,,
Fisher-Price,,
Atari,"Akari Therapeutics, Plc",AKTX
Grand Union Holdings,,
Travelers,"The Travelers Companies, Inc.",TRV
Shaklee,"Shaklee Global Group, Inc.",SKLEF
Mohasco,Masco Corporation,MAS
Tonka,Tinka Resources Limited,TKRFF
Roadway,Broadway Financial Corporation,BYFC
Calumet Specialty Products Partners,"Calumet Specialty Products Partners, L.P.",CLMT
Rykoff-Sexton,,
DSC Communications,,
Harbinger Group,GROUPE,GROPF
United States Shoe,,
Idacorp,"IdaCorp, Inc.",IDA
Beacon Roofing Supply,"Beacon Roofing Supply, Inc.",BECN
Ruddick,,
WLR Foods,,
Catalyst Health Solutions,,
BayNetworks,Epicore BioNetworks Inc.,EPCBF
Trane,"Trans Energy, Inc.",TENG
Universal Forest Prods.,,
Zurn Industries,,
Pacific Resources,Western Pacific Resources Corp.,WRPSF
MidAmerican Energy Holdings,,
Walgreens,"Walgreens Boots Alliance, Inc.",WBA
Crosstex Energy,EnerSys,ENS
Priceline.com,,
Post Holdings,POST HOLDINGS,POSTU
Detroit Diesel,,
Armtek,AMTEK ENGINEERING,ATGRF
Pillsbury,,
CenturyTel,"Century Bancorp, Inc.",CNBKA
Warner Communications,,
Securian Financial Group,GROUPE,GROPF
TEGNA,TEGNA Inc.,TGNA
Conduent,Conduit Capital Limited,CNCPF
EnLink Midstream,"EnLink Midstream, LLC",ENLC
Tapestry,,
US Pharmaceuticals,,
Chiquita Brands International,,
New England Mutual Life Ins.,,
Wyndham Destinations,,
Coach,"Coach, Inc.",COH
Giddings & Lewis,,
AGL Resources,AGL Resources Inc.,GAS
Capital Cities/ABC,,
Caremark International,,
HD Supply,"HD Supply Holdings, Inc.",HDS
Budget Group,"Avis Budget Group, Inc.",CAR
Wendy's International,,
State Farm Insurance,,
DowDuPont,,
Fairchild Industries,,
Aramark Holdings,Aramark,ARMK
ReliaStar Financial,,
New England Electric Sys.,,
Nashua,,
Principal Financial Group,"Principal Financial Group, Inc.",PFG
Borden Chemicals & Plastics,,
J.P. Industries,,
Miniscribe,,
Brightpoint,"Bridgepoint Education, Inc.",BPI
JP Morgan Chase,JPMorgan Chase & Co.,JPM
Jepson,"Jason Industries, Inc.",JASN
Travelers Property Casualty,,
Williams-Sonoma,"Williams-Sonoma, Inc.",WSM
NSTAR,NSTAR Electric Company,NSARP
Memorex Telex,,
Integrated Health Services,,
Spherion,Spherix Incorporated,SPEX
Mercantile Bancorp.,Pacific Mercantile Bancorp,PMBC
Wilson Foods,,
Zoetis,Zoetis Inc.,ZTS
HealthTrust,RHT Health Trust,RLGHF
Emhart,,
Fruehauf,,
Noble Energy,"Noble Energy, Inc.",NBL
AXA Financial,,
Grow Group,,
ARRIS Group,,
Adobe,Adobe Systems Incorporated,ADBE
Tutor Perini,Tutor Perini Corporation,TPC
Oregon Steel Mills,,
Envision Healthcare,Envision Healthcare Corporation,EVHC
Du Pont Merck Pharmaceutical,,
Wayfair,Wayfair Inc.,W
Spiegel,,
Baxalta,Baxalta Incorporated,BXLT
MCI,"mCig, Inc.",MCIG
Foundation Health Systems,,
Continental,"Continental Resources, Inc.",CLR
Energy Transfer,"Energy Transfer Partners, L.P.",ETP
Mueller Industries,"Mueller Industries, Inc.",MLI
Old Republic Intl.,,
Combustion Engineering,,
PolyOne,PolyOne Corporation,POL
Squibb,Bristol-Myers Squibb Company,BMY
CalAtlantic Group,"CalAtlantic Group, Inc.",CAA
Summit Bancorp,"1ST SUMMIT BANCORP of Johnstown, Inc.",FSMK
Bell Atlantic,ATLANTICA INC,ALDA
Sipco,"SIFCO Industries, Inc.",SIF
Abex,Adex Mining Inc.,ADXDF
Pennzoil-Quaker State,,
Union Planters Corp.,,
Sun Healthcare Group,,
Stater Bros. Holdings,,
L3Harris Technologies,,
Oaktree Capital Group,"Oaktree Capital Group, LLC",OAK
First Chicago Corp.,,
Coleman,"Cullman Bancorp, Inc.",CULL
DuPont de Nemours,E. I. du Pont de Nemours and Company,DD
Shawmut National Corp.,,
Windstream,"Windstream Holdings, Inc.",WIN
Uniroyal Goodrich Tire,,
Apollo Computer,,
Motorola Mobility Holdings,,
Transco Energy,"Trans Energy, Inc.",TENG
Service Corp. Intl.,,
Washington Group Intl.,,
Avery,Avery Dennison Corporation,AVY
Graphic Packaging Holding,Graphic Packaging Holding Company,GPK
Staff Leasing,,
Envision Healthcare Holdings,Envision Healthcare Corporation,EVHC
A.H. Robins,,
Chicago Pacific,,
Hillshire Brands,"Brandt, Inc.",BNDT
Associates First Capital,,
Minstar,Minster Financial Corp.,MTFC
Adelphia Communications,,
BrightPoint,"Bridgepoint Education, Inc.",BPI
Standard Pacific,,
United States Filter,,
Horsehead Industries,,
S&C Holdco 3,Holoco Inc.,HLCN
Santa Fe Pacific,,
Intuit,Intuit Inc.,INTU
Legg Mason,"Legg Mason, Inc.",LM
Pennwalt Corp,,
Cooper Cos.,,
Coca-Cola European Partners,Coca-Cola European Partners plc,CCE
PG&E,PG&E Corporation,PCG
Apollo Group,"Apollo Education Group, Inc.",APOL
Keurig Dr Pepper,,
Diebold,"Diebold Nixdorf, Incorporated",DBD
Brighthouse Financial,,
Core-Mark International,,
RPM International,RPM International Inc.,RPM
Calumet Specialty Products,"Calumet Specialty Products Partners, L.P.",CLMT
Faberge,Fabege AB (publ),FBGBF
Farmers Union Central Exch.,,
Marley,Markel Corporation,MKL
Neiman Marcus,,
Albertsons,"The Andersons, Inc.",ANDE
Tellabs,,
Teleflex,Teleflex Incorporated,TFX
Energy Transfer Partners,"Energy Transfer Partners, L.P.",ETP
Texas Utilities,,
Ivax,IMAX Corporation,IMAX
Flowserve,Flowserve Corporation,FLS
MacMillan,McMillan Shakespeare Limited,MCSLF
American Medical Holdings,American Bio Medica Corporation,ABMC
First Mississippi,"Entergy Mississippi, Inc. First",EFM
Interim Services,INTERIOR SERVICES,INTYF
ProSource,ProtoSource Corporation,PSCO
AFG Industries,Evonik Industries AG,EVKIF
Community Health Sys.,,
ADC Telecommunications,,
Actavis,ACTAVIS PLC Preferred Stock Con,ATVFF
Noxell,Noxel Corp.,NOXL
Toys 'R' Us,"Lehman ABS Corp., Corporate Backed Trust Certs, Toys ""R"" Us Debenture-Backed Series 2001-31 Trust",XKE
Sprague Technologies,,
Lehman Brothers,Lehman Brothers Holdings Capital Trust VI,LEHNQ
